L1,L2,R1,R2,R3
BMP7,,ACVR1,ACVR2A,
BMP7,,ACVR1,ACVR2B,
BMP7,,ACVR1,BMPR2,
BMP7,,BMPR1A,ACVR2A,
BMP7,,BMPR1A,ACVR2B,
BMP7,,BMPR1A,BMPR2,
BMP7,,BMPR1B,ACVR2A,
BMP7,,BMPR1B,ACVR2B,
BMP7,,BMPR1B,BMPR2,
BMP8A,,ACVR1,ACVR2A,
BMP8A,,ACVR1,ACVR2B,
BMP8A,,ACVR1,BMPR2,
BMP8A,,BMPR1A,ACVR2A,
BMP8A,,BMPR1A,ACVR2B,
BMP8A,,BMPR1A,BMPR2,
BMP8A,,BMPR1B,ACVR2A,
BMP8A,,BMPR1B,ACVR2B,
BMP8A,,BMPR1B,BMPR2,
BMP10,,ACVRL1,BMPR2,
BMP10,,ACVRL1,ACVR2A,
GDF2,,ACVRL1,BMPR2,
GDF2,,ACVRL1,ACVR2A,
GDF9,,ACVR1B,BMPR2,
GDF10,,ACVR1B,ACVR2A,
GDF11,,TGFBR1,ACVR2A,
GDF11,,TGFBR1,ACVR2B,
GDF11,,ACVR1B,ACVR2B,
GDF15,,TGFBR2,,
MSTN,,TGFBR1,ACVR2B,
MSTN,,ACVR1B,ACVR2B,
MSTN,,ACVR1B,ACVR2A,
MSTN,,TGFBR1,ACVR2A,
AMH,,AMHR2,ACVR1,
AMH,,AMHR2,BMPR1A,
ARTN,,GFRA3,,
NODAL,,ACVR1B,ACVR2A,
NODAL,,ACVR1C,ACVR2A,
NODAL,,ACVR1B,ACVR2B,
NODAL,,ACVR1C,ACVR2B,
GDF3,,ACVR1B,ACVR2A,
GDF3,,ACVR1B,ACVR2B,
GDF3,,ACVR1C,ACVR2A,
GDF3,,ACVR1C,ACVR2B,
INHBA,,ACVR1B,ACVR2A,
INHBA,,ACVR1B,ACVR2B,
INHBB,,ACVR1B,ACVR2A,
INHBB,,ACVR1B,ACVR2B,
INHBB,,ACVR1C,ACVR2A,
INHBB,,ACVR1C,ACVR2B,
INHBC,,ACVR1B,ACVR2A,
INHBC,,ACVR1B,ACVR2B,
INHBC,,ACVR1C,ACVR2A,
INHBC,,ACVR1C,ACVR2B,
INHBE,,ACVR1B,ACVR2A,
INHBE,,ACVR1B,ACVR2B,
INHBE,,ACVR1C,ACVR2A,
INHBE,,ACVR1C,ACVR2B,
WNT1,,FZD1,LRP5,
WNT1,,FZD10,LRP5,
WNT1,,FZD2,LRP5,
WNT1,,FZD3,LRP5,
WNT1,,FZD4,LRP5,
WNT1,,FZD5,LRP5,
WNT1,,FZD6,LRP5,
WNT1,,FZD7,LRP5,
WNT1,,FZD8,LRP5,
WNT1,,FZD9,LRP5,
WNT10B,,FZD1,LRP5,
WNT10B,,FZD10,LRP5,
WNT10B,,FZD2,LRP5,
WNT10B,,FZD3,LRP5,
WNT10B,,FZD4,LRP5,
WNT10B,,FZD5,LRP5,
WNT10B,,FZD6,LRP5,
WNT10B,,FZD7,LRP5,
WNT10B,,FZD8,LRP5,
WNT10B,,FZD9,LRP5,
WNT16,,FZD1,LRP5,
WNT16,,FZD10,LRP5,
WNT16,,FZD2,LRP5,
WNT16,,FZD3,LRP5,
WNT16,,FZD4,LRP5,
WNT16,,FZD5,LRP5,
WNT16,,FZD6,LRP5,
WNT16,,FZD7,LRP5,
WNT16,,FZD8,LRP5,
WNT16,,FZD9,LRP5,
WNT2,,FZD1,LRP5,
WNT2,,FZD10,LRP5,
WNT2,,FZD2,LRP5,
WNT2,,FZD3,LRP5,
WNT2,,FZD4,LRP5,
WNT2,,FZD5,LRP5,
WNT2,,FZD6,LRP5,
WNT2,,FZD7,LRP5,
WNT2,,FZD8,LRP5,
WNT2,,FZD9,LRP5,
WNT2B,,FZD1,LRP5,
WNT2B,,FZD10,LRP5,
WNT2B,,FZD2,LRP5,
WNT2B,,FZD3,LRP5,
WNT2B,,FZD4,LRP5,
WNT2B,,FZD5,LRP5,
WNT2B,,FZD6,LRP5,
WNT2B,,FZD7,LRP5,
WNT2B,,FZD8,LRP5,
WNT2B,,FZD9,LRP5,
WNT3,,FZD1,LRP5,
WNT3,,FZD10,LRP5,
WNT3,,FZD2,LRP5,
WNT3,,FZD3,LRP5,
WNT3,,FZD4,LRP5,
WNT3,,FZD5,LRP5,
WNT3,,FZD6,LRP5,
WNT3,,FZD7,LRP5,
WNT3,,FZD8,LRP5,
WNT3,,FZD9,LRP5,
WNT3A,,FZD1,LRP5,
WNT3A,,FZD10,LRP5,
WNT3A,,FZD2,LRP5,
WNT3A,,FZD3,LRP5,
WNT3A,,FZD4,LRP5,
WNT3A,,FZD5,LRP5,
WNT3A,,FZD6,LRP5,
WNT3A,,FZD7,LRP5,
WNT3A,,FZD8,LRP5,
WNT3A,,FZD9,LRP5,
WNT4,,FZD1,LRP5,
WNT4,,FZD10,LRP5,
WNT4,,FZD2,LRP5,
WNT4,,FZD3,LRP5,
WNT4,,FZD4,LRP5,
WNT4,,FZD5,LRP5,
WNT4,,FZD6,LRP5,
WNT4,,FZD7,LRP5,
WNT4,,FZD8,LRP5,
WNT4,,FZD9,LRP5,
WNT6,,FZD1,LRP5,
WNT6,,FZD10,LRP5,
WNT6,,FZD2,LRP5,
WNT6,,FZD3,LRP5,
WNT6,,FZD4,LRP5,
WNT6,,FZD5,LRP5,
WNT6,,FZD6,LRP5,
WNT6,,FZD7,LRP5,
WNT6,,FZD8,LRP5,
WNT6,,FZD9,LRP5,
WNT7A,,FZD1,LRP5,
WNT7A,,FZD10,LRP5,
WNT7A,,FZD2,LRP5,
WNT7A,,FZD3,LRP5,
WNT7A,,FZD4,LRP5,
WNT7A,,FZD5,LRP5,
WNT7A,,FZD6,LRP5,
WNT7A,,FZD7,LRP5,
WNT7A,,FZD8,LRP5,
WNT7A,,FZD9,LRP5,
WNT8A,,FZD1,LRP5,
WNT8A,,FZD10,LRP5,
WNT8A,,FZD2,LRP5,
WNT8A,,FZD3,LRP5,
WNT8A,,FZD4,LRP5,
WNT8A,,FZD5,LRP5,
WNT8A,,FZD6,LRP5,
WNT8A,,FZD7,LRP5,
WNT8A,,FZD8,LRP5,
WNT8A,,FZD9,LRP5,
WNT8B,,FZD1,LRP5,
WNT8B,,FZD10,LRP5,
WNT8B,,FZD2,LRP5,
WNT8B,,FZD3,LRP5,
WNT8B,,FZD4,LRP5,
WNT8B,,FZD5,LRP5,
WNT8B,,FZD6,LRP5,
WNT8B,,FZD7,LRP5,
WNT8B,,FZD8,LRP5,
WNT8B,,FZD9,LRP5,
WNT9A,,FZD1,LRP5,
WNT9A,,FZD10,LRP5,
WNT9A,,FZD2,LRP5,
WNT9A,,FZD3,LRP5,
WNT9A,,FZD4,LRP5,
WNT9A,,FZD5,LRP5,
WNT9A,,FZD6,LRP5,
WNT9A,,FZD7,LRP5,
WNT9A,,FZD8,LRP5,
WNT9A,,FZD9,LRP5,
WNT9B,,FZD1,LRP5,
WNT9B,,FZD10,LRP5,
WNT9B,,FZD2,LRP5,
WNT9B,,FZD3,LRP5,
WNT9B,,FZD4,LRP5,
WNT9B,,FZD5,LRP5,
WNT9B,,FZD6,LRP5,
WNT9B,,FZD7,LRP5,
WNT9B,,FZD8,LRP5,
WNT9B,,FZD9,LRP5,
WNT1,,FZD1,LRP6,
WNT1,,FZD10,LRP6,
WNT1,,FZD2,LRP6,
WNT1,,FZD3,LRP6,
WNT1,,FZD4,LRP6,
WNT1,,FZD5,LRP6,
WNT1,,FZD6,LRP6,
WNT1,,FZD7,LRP6,
WNT1,,FZD8,LRP6,
WNT1,,FZD9,LRP6,
WNT10B,,FZD1,LRP6,
WNT10B,,FZD10,LRP6,
WNT10B,,FZD2,LRP6,
WNT10B,,FZD3,LRP6,
WNT10B,,FZD4,LRP6,
WNT10B,,FZD5,LRP6,
WNT10B,,FZD6,LRP6,
WNT10B,,FZD7,LRP6,
WNT10B,,FZD8,LRP6,
WNT10B,,FZD9,LRP6,
WNT16,,FZD1,LRP6,
WNT16,,FZD10,LRP6,
WNT16,,FZD2,LRP6,
WNT16,,FZD3,LRP6,
WNT16,,FZD4,LRP6,
WNT16,,FZD5,LRP6,
WNT16,,FZD6,LRP6,
WNT16,,FZD7,LRP6,
WNT16,,FZD8,LRP6,
WNT16,,FZD9,LRP6,
WNT2,,FZD1,LRP6,
WNT2,,FZD10,LRP6,
WNT2,,FZD2,LRP6,
WNT2,,FZD3,LRP6,
WNT2,,FZD4,LRP6,
WNT2,,FZD5,LRP6,
WNT2,,FZD6,LRP6,
WNT2,,FZD7,LRP6,
WNT2,,FZD8,LRP6,
WNT2,,FZD9,LRP6,
WNT2B,,FZD1,LRP6,
WNT2B,,FZD10,LRP6,
WNT2B,,FZD2,LRP6,
WNT2B,,FZD3,LRP6,
WNT2B,,FZD4,LRP6,
WNT2B,,FZD5,LRP6,
WNT2B,,FZD6,LRP6,
WNT2B,,FZD7,LRP6,
WNT2B,,FZD8,LRP6,
WNT2B,,FZD9,LRP6,
WNT3,,FZD1,LRP6,
WNT3,,FZD10,LRP6,
WNT3,,FZD2,LRP6,
WNT3,,FZD3,LRP6,
WNT3,,FZD4,LRP6,
WNT3,,FZD5,LRP6,
WNT3,,FZD6,LRP6,
WNT3,,FZD7,LRP6,
WNT3,,FZD8,LRP6,
WNT3,,FZD9,LRP6,
WNT3A,,FZD1,LRP6,
WNT3A,,FZD10,LRP6,
WNT3A,,FZD2,LRP6,
WNT3A,,FZD3,LRP6,
WNT3A,,FZD4,LRP6,
WNT3A,,FZD5,LRP6,
WNT3A,,FZD6,LRP6,
WNT3A,,FZD7,LRP6,
WNT3A,,FZD8,LRP6,
WNT3A,,FZD9,LRP6,
WNT4,,FZD1,LRP6,
WNT4,,FZD10,LRP6,
WNT4,,FZD2,LRP6,
WNT4,,FZD3,LRP6,
WNT4,,FZD4,LRP6,
WNT4,,FZD5,LRP6,
WNT4,,FZD6,LRP6,
WNT4,,FZD7,LRP6,
WNT4,,FZD8,LRP6,
WNT4,,FZD9,LRP6,
WNT6,,FZD1,LRP6,
WNT6,,FZD10,LRP6,
WNT6,,FZD2,LRP6,
WNT6,,FZD3,LRP6,
WNT6,,FZD4,LRP6,
WNT6,,FZD5,LRP6,
WNT6,,FZD6,LRP6,
WNT6,,FZD7,LRP6,
WNT6,,FZD8,LRP6,
WNT6,,FZD9,LRP6,
WNT7A,,FZD1,LRP6,
WNT7A,,FZD10,LRP6,
WNT7A,,FZD2,LRP6,
WNT7A,,FZD3,LRP6,
WNT7A,,FZD4,LRP6,
WNT7A,,FZD5,LRP6,
WNT7A,,FZD6,LRP6,
WNT7A,,FZD7,LRP6,
WNT7A,,FZD8,LRP6,
WNT7A,,FZD9,LRP6,
WNT7B,,FZD1,LRP6,
WNT7B,,FZD10,LRP6,
WNT7B,,FZD2,LRP6,
WNT7B,,FZD3,LRP6,
WNT7B,,FZD4,LRP6,
WNT7B,,FZD5,LRP6,
WNT7B,,FZD6,LRP6,
WNT7B,,FZD7,LRP6,
WNT7B,,FZD8,LRP6,
WNT7B,,FZD9,LRP6,
WNT8A,,FZD1,LRP6,
WNT8A,,FZD10,LRP6,
WNT8A,,FZD2,LRP6,
WNT8A,,FZD3,LRP6,
WNT8A,,FZD4,LRP6,
WNT8A,,FZD5,LRP6,
WNT8A,,FZD6,LRP6,
WNT8A,,FZD7,LRP6,
WNT8A,,FZD8,LRP6,
WNT8A,,FZD9,LRP6,
WNT8B,,FZD1,LRP6,
WNT8B,,FZD10,LRP6,
WNT8B,,FZD2,LRP6,
WNT8B,,FZD3,LRP6,
WNT8B,,FZD4,LRP6,
WNT8B,,FZD5,LRP6,
WNT8B,,FZD6,LRP6,
WNT8B,,FZD7,LRP6,
WNT8B,,FZD8,LRP6,
WNT8B,,FZD9,LRP6,
WNT9A,,FZD1,LRP6,
WNT9A,,FZD10,LRP6,
WNT9A,,FZD2,LRP6,
WNT9A,,FZD3,LRP6,
WNT9A,,FZD4,LRP6,
WNT9A,,FZD5,LRP6,
WNT9A,,FZD6,LRP6,
WNT9A,,FZD7,LRP6,
WNT9A,,FZD8,LRP6,
WNT9A,,FZD9,LRP6,
WNT9B,,FZD1,LRP6,
WNT9B,,FZD10,LRP6,
WNT9B,,FZD2,LRP6,
WNT9B,,FZD3,LRP6,
WNT9B,,FZD4,LRP6,
WNT9B,,FZD5,LRP6,
WNT9B,,FZD6,LRP6,
WNT9B,,FZD7,LRP6,
WNT9B,,FZD8,LRP6,
WNT9B,,FZD9,LRP6,
WNT5A,,FZD1,,
WNT5A,,FZD10,,
WNT5A,,FZD2,,
WNT5A,,FZD3,,
WNT5A,,FZD4,,
WNT5A,,FZD5,,
WNT5A,,FZD6,,
WNT5A,,FZD7,,
WNT5A,,FZD8,,
WNT5A,,FZD9,,
WNT5A,,MCAM,,
WNT5B,,FZD1,,
WNT5B,,FZD10,,
WNT5B,,FZD3,,
WNT5B,,FZD4,,
WNT5B,,FZD7,,
WNT5B,,FZD8,,
WNT11,,FZD1,,
WNT11,,FZD10,,
WNT11,,FZD2,,
WNT11,,FZD3,,
WNT11,,FZD4,,
WNT11,,FZD5,,
WNT11,,FZD6,,
WNT11,,FZD7,,
WNT11,,FZD8,,
WNT11,,FZD9,,
EGF,,EGFR,,
EGF,,EGFR,ERBB2,
TGFA,,EGFR,,
TGFA,,EGFR,ERBB2,
AREG,,EGFR,,
AREG,,EGFR,ERBB2,
BTC,,EGFR,,
BTC,,EGFR,ERBB2,
BTC,,ERBB4,,
BTC,,ERBB2,ERBB4,
HBEGF,,EGFR,,
HBEGF,,EGFR,ERBB2,
HBEGF,,ERBB4,,
HBEGF,,ERBB2,ERBB4,
EREG,,EGFR,,
EREG,,EGFR,ERBB2,
EREG,,ERBB4,,
EREG,,ERBB2,ERBB4,
NRG1,,ERBB3,,
NRG1,,ERBB2,ERBB3,
NRG1,,ERBB4,,
NRG1,,ERBB2,ERBB4,
NRG2,,ERBB3,,
NRG2,,ERBB2,ERBB3,
NRG2,,ERBB4,,
NRG2,,ERBB2,ERBB4,
NRG3,,ERBB4,,
NRG3,,ERBB2,ERBB4,
NRG4,,ERBB4,,
NRG4,,ERBB2,ERBB4,
NRG1,,ITGAV,ITGB3,
FGF1,,FGFR1,,
FGF1,,FGFR2,,
FGF1,,FGFR3,,
FGF1,,FGFR4,,
FGF2,,FGFR1,,
FGF2,,FGFR2,,
FGF2,,FGFR3,,
FGF2,,FGFR4,,
FGF4,,FGFR1,,
FGF4,,FGFR2,,
FGF4,,FGFR3,,
FGF4,,FGFR4,,
FGF5,,FGFR1,,
FGF5,,FGFR2,,
FGF5,,FGFR3,,
FGF5,,FGFR4,,
FGF6,,FGFR1,,
FGF6,,FGFR2,,
FGF6,,FGFR3,,
FGF6,,FGFR4,,
FGF7,,FGFR1,,
FGF7,,FGFR2,,
FGF3,,FGFR1,,
FGF3,,FGFR2,,
FGF10,,FGFR1,,
FGF10,,FGFR2,,
FGF22,,FGFR2,,
FGF8,,FGFR1,,
FGF8,,FGFR2,,
FGF8,,FGFR3,,
FGF8,,FGFR4,,
FGF18,,FGFR1,,
FGF18,,FGFR2,,
FGF18,,FGFR3,,
FGF18,,FGFR4,,
FGF9,,FGFR1,,
FGF9,,FGFR2,,
FGF9,,FGFR3,,
FGF9,,FGFR4,,
FGF20,,FGFR1,,
FGF20,,FGFR2,,
FGF20,,FGFR3,,
FGF20,,FGFR4,,
FGF16,,FGFR1,,
FGF16,,FGFR2,,
FGF16,,FGFR3,,
FGF16,,FGFR4,,
FGF15,,FGFR1,,
FGF21,,FGFR1,,
FGF21,,FGFR3,,
FGF23,,FGFR1,,
FGF23,,FGFR3,,
FGF23,,FGFR4,,
PDGFA,,PDGFRA,,
PDGFA,,PDGFRB,,
PDGFB,,PDGFRA,,
PDGFB,,PDGFRB,,
PDGFC,,PDGFRA,,
PDGFD,,PDGFRB,,
IGF1,,IGF1R,,
IGF2,,IGF1R,,
IGF2,,IGF2R,,
IGF1,,ITGAV,ITGB3,
IGF1,,ITGA6,ITGB4,
IGF2,,ITGAV,ITGB3,
IGF2,,ITGA6,ITGB4,
DHH,,PTCH1,,
IHH,,PTCH1,,
SHH,,PTCH1,,
DHH,,PTCH2,,
IHH,,PTCH2,,
SHH,,PTCH2,,
CCL5,,CCR1,,
LOC616364,,CCR1,,
CCL3,,CCR1,,
CCL8,,CCR1,,
CCL14,,CCR1,,
CCL16,,CCR1,,
CCL8,,CCR2,,
CCL2,,CCR2,,
CCL27,,CCR2,,
CCL5,,CCR3,,
CCL11,,CCR3,,
CCL24,,CCR3,,
CCL26,,CCR3,,
CCL28,,CCR3,,
CCL27,,CCR3,,
CCL19,,CCR7,,
CCL21,,CCR7,,
CCL19,,ACKR4,,
CCL21,,ACKR4,,
CCL28,,CCR10,,
CCL1,,ACKR4,,
CCL8,,ACKR4,,
CCL2,,ACKR1,,
CXCL10,,ACKR1,,
CCL2,,ACKR2,,
CCL3,,ACKR2,,
CCL4,,ACKR2,,
CCL5,,ACKR2,,
CCL7,,ACKR2,,
CCL8,,ACKR2,,
CCL11,,ACKR2,,
CCL22,,ACKR2,,
CCL24,,ACKR2,,
CCL26,,ACKR2,,
CCL14,,ACKR2,,
CCL17,,ACKR2,,
CXCL1,,CXCR2,,
CXCL2,,CXCR2,,
CXCL3,,CXCR2,,
CXCL6,,CXCR2,,
CXCL9,,CXCR3,,
CXCL10,,CXCR3,,
CXCL11,,CXCR3,,
CXCL13,,CXCR3,,
PF4,,CXCR3,,
CXCL16,,CXCR6,,
IL4,,IL4R,IL2RG,
IL7,,IL7R,IL2RG,
IL9,,IL9R,IL2RG,
IL15,,IL15RA,IL2RB,
IL21,,IL21R,IL2RG,
CSF2,,CSF2RA,CSF2RB,
IL4,,IL4R,IL13RA1,
IL13,,IL4R,IL13RA1,
IL13,,IL13RA1,,
CNTF,,CNTFR,LIFR,
CLCF1,,CNTFR,LIFR,
CTF1,,LIFR,IL6ST,
LIF,,LIFR,IL6ST,
OSM,,LIFR,IL6ST,
OSM,,OSMR,IL6ST,
IL10,,IL10RA,IL10RB,
IL22,,IL22RA1,IL10RB,
IL26,,IL20RA,IL10RB,
IL1A,,IL1R1,IL1RAP,
IL1B,,IL1R1,IL1RAP,
IL1A,,IL1R2,,
IL1B,,IL1R2,,
IL1F10,,IL1RL2,IL1RAP,
IL37,,IL18R1,IL18RAP,
IL18,,IL18R1,IL18RAP,
IL33,,IL1RL1,IL1RAP,
IL17A,,IL17RA,IL17RC,
IL17F,,IL17RA,IL17RC,
IL25,,IL17RA,IL17RB,
GH1,,GHR,,
PRL,,PRLR,,
IFNT,,IFNAR1,IFNAR2,
IFNK,,IFNAR1,IFNAR2,
IFNE,,IFNAR1,IFNAR2,
IFNA16,,IFNAR1,IFNAR2,
IFNG,,IFNGR1,IFNGR2,
TNF,,TNFRSF1A,,
TNF,,TNFRSF1B,,
LTA,,TNFRSF1A,,
LTA,,TNFRSF1B,,
LTA,,TNFRSF14,,
LTA,,LTB,LTBR,
TNFSF14,,LTBR,,
TNFSF15,,TNFRSF25,,
TNFSF10,,TNFRSF10B,,
NGF,,NGFR,,
TNFSF11,,TNFRSF11B,,
TNFSF12,,TNFRSF12A,,
TNFSF9,,TNFRSF9,,
TNFSF13,,TNFRSF17,,
TNFSF13B,,TNFRSF17,,
CD40LG,,ITGA2B,ITGB3,
CD40LG,,ITGA5,ITGB1,
CD40LG,,ITGAM,ITGB2,
SPP1,,CD44,,
SPP1,,ITGAV,ITGB3,
SPP1,,ITGAV,ITGB1,
SPP1,,ITGAV,ITGB5,
SPP1,,ITGAV,ITGB6,
SPP1,,ITGA4,ITGB1,
SPP1,,ITGA9,ITGB1,
SPP1,,ITGA8,ITGB1,
SPP1,,ITGA5,ITGB1,
ADIPOQ,,ADIPOR1,,
ADIPOQ,,ADIPOR2,,
RETN,,TLR4,,
RETN,,CAP1,,
NAMPT,,INSR,,
NAMPT,,ITGA5,ITGB1,
ANGPTL1,,ITGA1,ITGB1,
ANGPTL2,,ITGA5,ITGB1,
ANGPTL2,,TLR4,,
ANGPTL4,,ITGA5,ITGB1,
ANGPTL4,,ITGAV,ITGB3,
ANGPTL4,,CDH11,,
ANGPTL4,,SDC1,,
ANGPTL4,,SDC2,,
ANGPTL4,,SDC4,,
ANGPTL3,,ITGAV,ITGB3,
ANGPT1,,TEK,,
ANGPT2,,ITGA5,ITGB1,
MDK,,SDC1,,
MDK,,SDC2,,
MDK,,SDC4,,
MDK,,PTPRZ1,,
MDK,,ITGA4,ITGB1,
MDK,,ITGA6,ITGB1,
MDK,,LRP1,,
MDK,,NCL,,
MDK,,ALK,,
POSTN,,ITGAV,ITGB3,
POSTN,,ITGAV,ITGB5,
NMB,,NMBR,,
C3,,ITGAM,ITGB2,
C3,,ITGAX,ITGB2,
C4A,,C3AR1,,
C4A,,CR2,,
CCK,,CCKBR,,
EDN1,,EDNRA,,
EDN2,,EDNRA,,
EDN3,,EDNRA,,
EDN1,,EDNRB,,
EDN2,,EDNRB,,
EDN3,,EDNRB,,
GAL,,GALR1,,
GAL,,GALR2,,
GAL,,GALR3,,
POMC,,MC1R,,
POMC,,MC2R,,
POMC,,MC3R,,
POMC,,MC4R,,
POMC,,MC5R,,
NPY,,NPY1R,,
NPY,,NPY2R,,
NPY,,NPY4R,,
NPY,,NPY5R,,
PPY,,NPY1R,,
PPY,,NPY2R,,
PPY,,NPY4R,,
PPY,,NPY5R,,
PYY,,NPY1R,,
PYY,,NPY2R,,
PYY,,NPY4R,,
PYY,,NPY5R,,
NPB,,NPBWR1,,
PDYN,,OPRD1,,
PDYN,,OPRK1,,
PDYN,,OPRM1,,
PENK,,OPRD1,,
PENK,,OPRK1,,
PENK,,OPRL1,,
PENK,,OPRM1,,
POMC,,OPRD1,,
POMC,,OPRK1,,
POMC,,OPRL1,,
POMC,,OPRM1,,
OXT,,OXTR,,
CTSG,,F2R,,
F2,,F2R,,
PLG,,F2R,,
GZMA,,F2R,,
PRSS2,,F2R,,
PRSS1,,F2R,,
PRSS3,,F2RL1,,
CTSG,,F2RL1,,
F2,,F2RL1,,
PLG,,F2RL1,,
GZMA,,F2RL1,,
PRSS2,,F2RL1,,
PRSS1,,F2RL1,,
PLG,,F2RL2,,
PLG,,F2RL3,,
PLG,,PARD3,,
PMCH,,MCHR1,,
VIP,,VIPR1,,
NPPA,,NPR1,,
NPPB,,NPR1,,
NPPC,,NPR2,,
GIP,,GIPR,,
BDNF,,NTRK2,,
NGF,,NTRK1,,
HGF,,MET,,
KLK3,,NTRK1,,
NTF3,,NTRK1,,
NTF3,,NTRK2,,
NTF3,,NTRK3,,
NTF5,,NTRK2,,
SEMA3A,,NRP1,PLXNA1,
SEMA3A,,NRP1,PLXNA2,
SEMA3A,,NRP1,PLXNA3,
SEMA3A,,NRP1,PLXNA4,
SEMA3B,,NRP1,PLXNA1,
SEMA3B,,NRP1,PLXNA2,
SEMA3B,,NRP1,PLXNA3,
SEMA3B,,NRP1,PLXNA4,
SEMA3C,,NRP1,PLXNA1,
SEMA3C,,NRP1,PLXNA2,
SEMA3C,,NRP1,PLXNA3,
SEMA3C,,NRP1,PLXNA4,
SEMA3D,,NRP1,PLXNA1,
SEMA3D,,NRP1,PLXNA2,
SEMA3D,,NRP1,PLXNA3,
SEMA3D,,NRP1,PLXNA4,
SEMA3B,,NRP2,PLXNA1,
SEMA3B,,NRP2,PLXNA2,
SEMA3B,,NRP2,PLXNA3,
SEMA3B,,NRP2,PLXNA4,
SEMA3C,,NRP2,PLXNA1,
SEMA3C,,NRP2,PLXNA2,
SEMA3C,,NRP2,PLXNA3,
SEMA3C,,NRP2,PLXNA4,
SEMA3F,,NRP2,PLXNA1,
SEMA3F,,NRP2,PLXNA2,
SEMA3F,,NRP2,PLXNA3,
SEMA3F,,NRP2,PLXNA4,
SEMA3C,,NRP1,NRP2,
SEMA3C,,PLXND1,,
ADM,,CALCR,,
ADM,,CALCRL,,
AGT,,MAS1,,
ANXA1,,FPR2,,
ANXA1,,FPR1,,
CALCA,,CALCR,,
CALCA,,CALCRL,,
CALCB,,CALCR,,
CALCB,,CALCRL,,
CRH,,CRHR1,,
CRH,,CRHR2,,
ENHO,,GPR19,,
GAS6,,AXL,,
GAS6,,MERTK,,
GAS6,,TYRO3,,
GH,,GHR,,
GH,,PRLR,,
GHRH,,VIPR1,,
GRN,,SORT1,,
GUCA2A,,GUCY2C,,
GUCA2B,,GUCY2C,,
IAPP,,CALCR,,
IAPP,,CALCRL,,
LGALS9,,CD45,,
OSTN,,NPR3,,
PMCH,,MERTK,,
PROS1,,AXL,,
PROS1,,TYRO3,,
PSAP,,GPR37L1,,
PSAP,,GPR37,,
QRFP,,QRFPR,,
RARRES2,,GPR1,,
RARRES2,,CMKLR1,,
SLURP1,,CHRNB2,,
SLURP1,,CHRNA3,,
SLURP2,,CHRNB2,,
SLURP2,,CHRNA3,,
UCN,,CRHR1,,
UCN,,CRHR2,,
UCN2,,CRHR1,,
UCN2,,CRHR2,,
UCN3,,CRHR1,,
UCN3,,CRHR2,,
LGALS9,,HAVCR2,,
LGALS9,,CD44,,
COL1A1,,ITGA2,ITGB1,
COL1A2,,ITGA2,ITGB1,
COL2A1,,ITGA2,ITGB1,
